 更新,    平均,      σ,    RMSE,      ﾊﾟﾗﾒｰﾀ 1～6
  131,   -5.27,   41.49,   41.82,      0.0526,   -0.8390,    2.3276,    9.7828,   -3.5293,   53.6497,
  132,   -2.87,   41.24,   41.34,      0.0577,   -0.9537,    3.1079,    8.3382,   -3.4608,   53.8509,
  133,   -5.84,   40.55,   40.97,      0.0547,   -0.9201,    3.1847,    7.0916,   -3.4681,   56.3439,
  134,   -2.98,   40.66,   40.77,      0.0527,   -0.8845,    3.0434,    7.0040,   -3.5630,   58.8780,
  135,   -2.38,   40.21,   40.28,      0.0579,   -0.9809,    3.5738,    6.2584,   -3.4814,   57.8540,
  136,   -6.19,   39.31,   39.79,      0.0545,   -0.9349,    3.5668,    5.0090,   -3.5794,   62.7090,
  137,   -8.04,   38.57,   39.40,      0.0549,   -0.9532,    3.7655,    4.2182,   -3.6751,   67.0009,
  138,   -5.21,   38.45,   38.80,      0.0558,   -0.9834,    4.0858,    3.2296,   -3.6628,   68.4729,
  139,  -11.28,   36.59,   38.29,      0.0655,   -1.2046,    5.6741,   -0.4671,   -3.5262,   69.0837,
  140,   -4.88,   36.55,   36.88,      0.0641,   -1.1826,    5.6666,   -0.9787,   -3.6461,   73.1037,
  141,   -4.88,   36.55,   36.88,      0.0641,   -1.1826,    5.6666,   -0.9787,   -3.6461,   73.1037,
  142,   -5.74,   35.46,   35.92,      0.0674,   -1.2722,    6.5372,   -4.0121,   -3.7443,   80.0049,
  143,   -5.80,   35.00,   35.48,      0.0684,   -1.3045,    6.8300,   -4.8042,   -3.7602,   81.2815,
  144,   -8.69,   34.10,   35.19,      0.0708,   -1.3705,    7.4768,   -7.1317,   -3.8083,   86.4781,
  145,   -3.30,   34.37,   34.52,      0.0715,   -1.3725,    7.2694,   -5.5339,   -3.7496,   83.5675,
  146,   -6.34,   33.70,   34.29,      0.0734,   -1.4132,    7.6011,   -6.6373,   -3.7442,   83.8925,
  147,   -9.07,   30.21,   31.54,      0.0962,   -1.8990,   10.8472,  -13.2144,   -3.2164,   77.6347,
